epoch,accuracy,binary_accuracy,binary_csi,binary_focn,binary_frequency_bias,binary_peirce_score,binary_pod,binary_pofd,binary_success_ratio,loss,val_accuracy,val_binary_accuracy,val_binary_csi,val_binary_focn,val_binary_frequency_bias,val_binary_peirce_score,val_binary_pod,val_binary_pofd,val_binary_success_ratio,val_loss
0,0.06644676,0.5433479,0.12704211,0.9335523,4.916007,0.19247478,0.6624006,0.46992585,0.13590698,1.0285073349000347,0.05752878,0.5423941,0.11160953,0.9261126,4.9888744,0.13469763,0.59822035,0.4635228,0.12072447,0.8533970353433601
1,0.06433372,0.6045567,0.14005524,0.9374761,4.2538323,0.24195398,0.6414925,0.3995383,0.15206371,0.7260727601441094,0.049587145,0.56803346,0.10290559,0.91750884,4.5481305,0.08904819,0.5154194,0.4263712,0.11399166,0.6814018249436603
2,0.060784288,0.67662627,0.15850273,0.9396584,3.470755,0.29107362,0.6065242,0.3154507,0.17701001,0.5442992199765373,0.041937813,0.6253486,0.100558974,0.9149658,3.8050067,0.08198555,0.43650848,0.35452294,0.11570641,0.5474495986534051
3,0.054471638,0.7365798,0.1714868,0.9369868,2.732636,0.3020558,0.54391193,0.24185602,0.2006475,0.44008009108506646,0.035803404,0.71977067,0.11320136,0.9187306,2.6682923,0.1288536,0.37199575,0.24314214,0.1400612,0.4100279244297919
4,0.04967057,0.7786792,0.18346603,0.9350657,2.212289,0.30640018,0.49606267,0.1896624,0.22602218,0.3784889210041045,0.030272132,0.78917366,0.12539658,0.92006075,1.8338807,0.15479359,0.31510907,0.16031545,0.17266418,0.32940825348615493
5,0.047180057,0.80779976,0.19689703,0.9345816,1.8714252,0.31636727,0.47080728,0.15443997,0.2535982,0.33387548595380867,0.027211137,0.8275287,0.13585886,0.9207213,1.37724,0.16864954,0.28322396,0.11457443,0.20752914,0.2938132406633157
6,0.04460197,0.82602364,0.20410699,0.9334486,1.6384655,0.3145369,0.44595546,0.13141853,0.274216,0.3074345674672505,0.032737747,0.85823554,0.18730928,0.92861825,1.1602451,0.2537576,0.34040996,0.08665228,0.29423887,0.2576890352317651
7,0.04449563,0.8382457,0.21551171,0.93416554,1.5087124,0.3262559,0.443845,0.11758907,0.2959714,0.2858764607225333,0.033049416,0.8723035,0.2049378,0.9299899,1.0205666,0.27142152,0.34283844,0.071416944,0.3373682,0.24152350801300837
8,0.042725526,0.84752125,0.2187086,0.9331472,1.3820919,0.3212659,0.4266426,0.105376676,0.310658,0.2660320198580246,0.032378923,0.8724073,0.202122,0.92945844,1.007944,0.2666107,0.33725983,0.07064909,0.33581594,0.23303756438942172
9,0.04009028,0.85414416,0.21546285,0.931102,1.2671618,0.3056382,0.4007702,0.095132045,0.319183,0.2552077480993337,0.03635234,0.87950927,0.23140186,0.93368304,1.0143043,0.31078827,0.37786084,0.06707249,0.37399605,0.21942897663975783
10,0.0388338,0.85999644,0.21710964,0.93031096,1.1773744,0.30038643,0.38760462,0.08721828,0.3312285,0.2471623848899595,0.03474737,0.8773044,0.2203049,0.9318983,1.003139,0.2935635,0.36124188,0.06767834,0.36133775,0.21825301595543944
11,0.037373424,0.8633449,0.21461324,0.92906,1.1156199,0.29122338,0.3730031,0.08177973,0.33690247,0.243300448271454,0.038419884,0.8734937,0.2322486,0.9353701,1.1225259,0.3230223,0.39915755,0.07613527,0.35724187,0.21662548238854026
12,0.036941074,0.8655758,0.21546331,0.9290042,1.088605,0.29034716,0.36933926,0.078992195,0.34205598,0.24147231417213777,0.030339787,0.8786005,0.1988413,0.9280541,0.9030798,0.25294,0.31453922,0.061599236,0.35057533,0.22060616044932066
13,0.036577214,0.86743176,0.21604517,0.9286961,1.0582857,0.28830227,0.36472735,0.07642501,0.34714967,0.23934384261239644,0.039584503,0.87335455,0.23803368,0.9364507,1.146369,0.33475646,0.41226834,0.077511884,0.36064735,0.2153488653744251
14,0.037101187,0.8692715,0.22109103,0.9293738,1.0528859,0.2961727,0.37116992,0.07499714,0.35472518,0.23749200965613776,0.042366024,0.87386113,0.25105077,0.9391334,1.1984025,0.36057147,0.4405246,0.079953045,0.36908624,0.21253705343023815
15,0.03672041,0.8691789,0.21903193,0.92904085,1.0487446,0.29262248,0.36732617,0.07470363,0.3533293,0.23728570454695197,0.03282248,0.87725395,0.21066242,0.9300649,0.96486175,0.2757862,0.34136054,0.06557438,0.3557216,0.21542214015856734
16,0.03678625,0.8702443,0.22070076,0.9290534,1.0352156,0.2936652,0.3671287,0.07346342,0.35744715,0.23580488218641937,0.03189058,0.8834393,0.21438536,0.9298382,0.8781621,0.27324414,0.33112198,0.057877798,0.37812507,0.21528695259893474
17,0.036806308,0.8704713,0.22107401,0.9292867,1.0379446,0.29466572,0.36809686,0.07343106,0.3577068,0.23527982958226065,0.037086003,0.88027984,0.23519821,0.9344866,1.0264258,0.3170702,0.38415626,0.06708602,0.3775706,0.21137685001497383
18,0.037003994,0.87039894,0.22201419,0.92937094,1.0366083,0.29574502,0.36937907,0.073634036,0.3583358,0.235898532804586,0.03742534,0.8796103,0.23665914,0.93476623,1.0362382,0.32081893,0.38900357,0.0681846,0.37711453,0.21088383910636446
19,0.03669304,0.87082946,0.22111759,0.9291737,1.0294464,0.29385397,0.36672592,0.07287193,0.35878524,0.2352872963518746,0.031104662,0.880047,0.20546244,0.92882645,0.9014851,0.262771,0.32353345,0.060762424,0.36090446,0.2152257415770583
