epoch,accuracy,binary_accuracy,binary_csi,binary_focn,binary_frequency_bias,binary_peirce_score,binary_pod,binary_pofd,binary_success_ratio,loss,val_accuracy,val_binary_accuracy,val_binary_csi,val_binary_focn,val_binary_frequency_bias,val_binary_peirce_score,val_binary_pod,val_binary_pofd,val_binary_success_ratio,val_loss
0,0.06480623,0.5823023,0.13445744,0.9361554,4.514479,0.22367373,0.6486217,0.42494783,0.14513756,1.9043050000268538,0.034536466,0.6258676,0.08436083,0.90093744,3.498366,0.0036127556,0.3469022,0.3432895,0.10049781,1.1577147269444263
1,0.06383617,0.644305,0.15231441,0.94129527,3.8645484,0.28408343,0.639087,0.35500354,0.16685782,0.9048841753852498,0.029256469,0.66748244,0.08077779,0.90079325,2.950121,0.0026767838,0.29389447,0.2912177,0.100369856,0.6839350472476097
2,0.06028653,0.70838493,0.17158152,0.9421757,3.1371813,0.32334965,0.60325426,0.2799047,0.19359134,0.5848442919414097,0.025709657,0.69584394,0.07781758,0.90075374,2.5968018,0.002491784,0.2582737,0.25578195,0.10041606,0.5434274931110221
3,0.05619941,0.7669736,0.19465955,0.9420386,2.4771023,0.35344723,0.5637467,0.21029945,0.2297069,0.44491591541753106,0.019735131,0.7467016,0.07219901,0.90102935,1.9499371,0.0055045695,0.1981358,0.19263124,0.10215229,0.45571538882955637
4,0.052974723,0.80896187,0.21751012,0.94149005,1.98307,0.37068093,0.53070086,0.16001981,0.26973894,0.3671399001737157,0.025216557,0.7931363,0.10843254,0.9116886,1.5980415,0.10605602,0.25319555,0.1471395,0.15971148,0.3831415040994787
5,0.050335754,0.8343468,0.23288533,0.9403612,1.6753606,0.374852,0.5036438,0.12879176,0.30276027,0.33374412489714345,0.015226917,0.8234613,0.07918301,0.9054045,1.0853559,0.050252456,0.15254669,0.10229423,0.14174055,0.36951780687282876
6,0.049269322,0.8529801,0.25091243,0.94065803,1.4712001,0.38719618,0.49419257,0.10699632,0.3383954,0.302216782468839,0.043081585,0.6459713,0.1084118,0.91419864,3.4460397,0.101080485,0.4314236,0.3303431,0.12652715,1.0592403199286602
7,0.047744676,0.86214733,0.2573139,0.9397343,1.3461499,0.38444722,0.47952437,0.09507709,0.35811788,0.3039773746565809,0.01190184,0.8685327,0.082847156,0.9071233,0.564232,0.070905864,0.119510286,0.04860444,0.21270916,0.3546166640636526
8,0.04695228,0.86891264,0.2637487,0.93941945,1.2598014,0.38454622,0.471259,0.08671278,0.37545863,0.277197073197136,0.008987423,0.87671614,0.06793003,0.9054487,0.42153004,0.05411273,0.0904051,0.03629238,0.21528427,0.3648072080786452
9,0.046761002,0.874713,0.27170447,0.9395339,1.1952184,0.3881035,0.46808034,0.07997687,0.39347294,0.2693994960975548,0.014845122,0.8505026,0.09012063,0.9080009,0.8090845,0.07733114,0.14933509,0.072003946,0.18593875,0.322507828004569
10,0.04672565,0.8788158,0.27812034,0.9396693,1.1574702,0.39293575,0.4681546,0.075218916,0.40876344,0.2574651921296614,0.021515617,0.8843365,0.15642199,0.9169499,0.5955185,0.17396472,0.21564347,0.041678734,0.36225125,0.29924094645047083
11,0.04678669,0.88145566,0.2828269,0.940094,1.133326,0.3971529,0.46970728,0.072554484,0.4173303,0.25259620871262256,0.01696745,0.86213577,0.10930133,0.91101295,0.7327444,0.109064385,0.17049438,0.06143001,0.2336821,0.3175581080326136
12,0.04625732,0.8828946,0.28283024,0.9397699,1.1068153,0.3934275,0.46392572,0.07049829,0.4212663,0.2556101758840898,0.009227447,0.8697789,0.06600262,0.9049535,0.4981203,0.04839575,0.092646435,0.04425069,0.18746777,0.3486457066146848
13,0.047012933,0.88572824,0.29122066,0.94051594,1.089955,0.40297246,0.47094965,0.067977116,0.43439046,0.24690608754210713,0.029759338,0.90900344,0.24682394,0.926482,0.5147006,0.27640992,0.29997543,0.023565488,0.58178467,0.2671337795655684
14,0.047301594,0.8875358,0.29587078,0.9410957,1.082388,0.4085968,0.47505686,0.06646022,0.44139826,0.2393057837426582,0.017256092,0.8855417,0.13065854,0.91344285,0.50000024,0.1374456,0.17319164,0.035746034,0.3468127,0.29328324403038697
15,0.047283407,0.88893545,0.2983961,0.9410258,1.0630369,0.40911594,0.47387913,0.06476326,0.44765544,0.23587054263699955,0.019798344,0.88031626,0.14195147,0.91517085,0.60466,0.15515117,0.1994928,0.04434158,0.33067653,0.27627885491876536
16,0.04705084,0.88897014,0.29766768,0.94078815,1.0592648,0.40769416,0.47213134,0.06443718,0.44826385,0.23496919867196456,0.03446948,0.9060768,0.26757774,0.9305122,0.6377791,0.31330222,0.34532696,0.032024723,0.54082125,0.2411690370684986
17,0.047530595,0.889606,0.3007079,0.9413386,1.0634407,0.41228628,0.4766007,0.064314395,0.45082244,0.23049808809689087,0.018227834,0.9002137,0.15427458,0.9155059,0.36843255,0.16236031,0.182783,0.020422673,0.4949341,0.2859893229936156
18,0.04743688,0.8904665,0.30191666,0.94138193,1.053782,0.4121733,0.4754979,0.063324645,0.45423427,0.2314072687274986,0.04671495,0.87877214,0.27750444,0.9402573,1.1621357,0.39268178,0.46861544,0.07593365,0.40469792,0.24140173813683774
19,0.04758017,0.8895851,0.30065605,0.9414697,1.0667238,0.41274497,0.47721127,0.06446634,0.45034662,0.231232142785012,0.03896585,0.92823946,0.3519239,0.9362166,0.5051031,0.37913477,0.3915325,0.012397641,0.7754882,0.3166835704875879
20,0.047756333,0.8907875,0.30399415,0.94157094,1.0543805,0.41493654,0.47811967,0.06318313,0.4565388,0.23051302350244646,0.048386417,0.8832629,0.29221845,0.94218606,1.1495516,0.41242188,0.48519132,0.072769426,0.423199,0.2228476597816597
21,0.047988348,0.8929672,0.30948785,0.9420942,1.0425512,0.4213178,0.48247817,0.061160374,0.46573272,0.22520987875971774,0.027276076,0.9089176,0.22964054,0.9242678,0.4654298,0.25250965,0.27343804,0.020928398,0.58818555,0.2462644432615618
22,0.04897186,0.89324605,0.31442398,0.94297564,1.0545092,0.42904326,0.4908972,0.06185392,0.46806437,0.22270983451965934,0.03128477,0.91186494,0.26226276,0.9279156,0.51610845,0.2929994,0.31492972,0.021930337,0.6110482,0.25966377579797795
23,0.047747154,0.8921198,0.30631492,0.94182456,1.0454113,0.41727975,0.47914633,0.06186657,0.4615788,0.2276436489778807,0.057131063,0.9104271,0.38919944,0.9524125,1.0502337,0.5212407,0.57337594,0.05213526,0.54807353,0.2189856659768885
24,0.04929355,0.89400774,0.3171879,0.94341195,1.0566515,0.432791,0.49420574,0.06141473,0.47169286,0.2241470773806424,0.027246427,0.8849015,0.1913301,0.9223106,0.70732826,0.22650884,0.27410027,0.047591437,0.3882518,0.2497621356558334
25,0.048544917,0.8939638,0.31400698,0.94266796,1.0399168,0.42674333,0.487374,0.060630806,0.47093186,0.22097885780205115,0.011821582,0.8994264,0.10530769,0.9101189,0.25017646,0.10477697,0.11912456,0.014347591,0.4735936,0.3226332595570702
26,0.048915483,0.894316,0.31640875,0.9429497,1.0420716,0.43001038,0.4905628,0.060552545,0.47357377,0.21739240351119649,0.046813834,0.877671,0.27655706,0.94025314,1.172288,0.39271012,0.4699277,0.07721761,0.401269,0.23638460669190012
27,0.04932679,0.8942665,0.31785366,0.94355327,1.0577447,0.43412277,0.49537358,0.061250903,0.4724689,0.22108839546031805,0.053922012,0.89171463,0.33213738,0.9483609,1.1775106,0.47272584,0.54233533,0.06960957,0.46185333,0.21408047096565525
28,0.048373636,0.89403534,0.313195,0.9425176,1.0360839,0.42449453,0.48488984,0.06039535,0.47083512,0.2188202131848378,0.02966977,0.8963256,0.2213378,0.9252466,0.64094657,0.25945237,0.2968694,0.037417043,0.4645421,0.2479316757096385
29,0.04904212,0.8954521,0.3193047,0.9433612,1.0368528,0.43247265,0.49213782,0.059665285,0.47752857,0.21290807677128173,0.034337208,0.903557,0.26225388,0.93013924,0.6610269,0.31032956,0.3449546,0.034624994,0.52257526,0.23061286213455068
30,0.048914306,0.89580965,0.31914473,0.9431186,1.0302682,0.43120223,0.49018875,0.058986306,0.47931808,0.21248965367913045,0.025040692,0.9015742,0.2027844,0.9216981,0.49546075,0.22553469,0.25213787,0.026603196,0.50900155,0.2493735373621101
31,0.049677264,0.8959765,0.32301548,0.9438566,1.0460011,0.4388501,0.49843714,0.059587143,0.48152176,0.20908023931572545,0.027132705,0.8925816,0.20090926,0.92281705,0.62937635,0.23326874,0.2721961,0.038927358,0.4342664,0.2451694148399579
